coordinates,publication,filename,authorName,archiveType,variableType,description,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
"[-71.8167, -45.5167, 725]",PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,Julie Elbert,lake sediment,inferred,surface temperature anomaly Sep-Feb lower 95% CI,NA,Na,uncertainty_temperature,degC,1
"[-71.8167, -45.5167, 725]",PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,Richard Wartenburger,lake sediment,inferred,surface temperature anomaly Sep-Feb lower 95% CI,NA,Na,uncertainty_temperature,degC,1
"[-71.8167, -45.5167, 725]",PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,Lucien Von Gunten,lake sediment,inferred,surface temperature anomaly Sep-Feb lower 95% CI,NA,Na,uncertainty_temperature,degC,1
"[-71.8167, -45.5167, 725]",PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,Roberto Urrutia,lake sediment,inferred,surface temperature anomaly Sep-Feb lower 95% CI,NA,Na,uncertainty_temperature,degC,1
"[-71.8167, -45.5167, 725]",PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,Daniela Fischer,lake sediment,inferred,surface temperature anomaly Sep-Feb lower 95% CI,NA,Na,uncertainty_temperature,degC,1
"[-71.8167, -45.5167, 725]",PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,Marian Fujak,lake sediment,inferred,surface temperature anomaly Sep-Feb lower 95% CI,NA,Na,uncertainty_temperature,degC,1
"[-71.8167, -45.5167, 725]",PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,Yvonne Hamann,lake sediment,inferred,surface temperature anomaly Sep-Feb lower 95% CI,NA,Na,uncertainty_temperature,degC,1
"[-71.8167, -45.5167, 725]",PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,Nicolas David Greber,lake sediment,inferred,surface temperature anomaly Sep-Feb lower 95% CI,NA,Na,uncertainty_temperature,degC,1
"[-71.8167, -45.5167, 725]",PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,Martin Grosjean,lake sediment,inferred,surface temperature anomaly Sep-Feb lower 95% CI,NA,Na,uncertainty_temperature,degC,1
"[-71.8167, -45.5167, 725]",PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,Julie Elbert,lake sediment,inferred,surface temperature anomaly Sep-Feb,NA,Air Surface,Temperature,degC,1
"[-71.8167, -45.5167, 725]",PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,Richard Wartenburger,lake sediment,inferred,surface temperature anomaly Sep-Feb,NA,Air Surface,Temperature,degC,1
"[-71.8167, -45.5167, 725]",PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,Lucien Von Gunten,lake sediment,inferred,surface temperature anomaly Sep-Feb,NA,Air Surface,Temperature,degC,1
